sample	Cluster
B49583	cluster3
B21621	cluster3
B36115	cluster3
B67384	cluster3
B74544	cluster3
B94596	cluster3
B37867	cluster3
B16753	cluster3
R16753	cluster3
B32874	cluster3
B81259	cluster3
R36219	cluster3
R88836	cluster3
B62577	cluster3
R94596	cluster3
R68833	cluster3
R49583	cluster3
R13432	cluster3
R64597	cluster3
B94573	cluster3
R94573	cluster3
R86313	cluster3
B93292	cluster3
R93292	cluster3
R65425	cluster3
R18357	cluster3
R58373	cluster3
B95629	cluster3
R63258	cluster3
B54144	cluster3
B27476	cluster3
B18284	cluster3
B14233	cluster3
B26221	cluster3
B57344	cluster3
B63737	cluster3
B77945	cluster3
B44517	cluster3
B87167	cluster3
B43811	cluster3
B95223	cluster3
B63913	cluster3
R23156	cluster3
B59894	cluster3
B19171	cluster3
B46262	cluster3
B66416	cluster3
B62792	cluster3
B25389	cluster3
B48157	cluster3
B79151	cluster3
B31654	cluster3
B31569	cluster3
B76953	cluster3
B27282	cluster3
B26916	cluster3
B79387	cluster3
B31553	cluster3
B81656	cluster3
B59157	cluster3
B19421	cluster3
B54359	cluster3
B33635	cluster3
B91136	cluster3
B94882	cluster3
B79484	cluster3
B46343	cluster3
B12831	cluster3
B46418	cluster3
B98846	cluster3
R98846	cluster3
B66222	cluster3
B55134	cluster3
B57854	cluster3
B13477	cluster3
B97184	cluster3
B87144	cluster3
B38518	cluster3
B61771	cluster3
B54978	cluster3
B84445	cluster3
B28443	cluster3
B65182	cluster3
B33165	cluster3
B47651	cluster3
B29771	cluster3
B42176	cluster3
B58984	cluster3
B21432	cluster3
B45848	cluster3
R45848	cluster3
B75622	cluster3
B76811	cluster3
B29638	cluster4
B97383	cluster4
B93984	cluster4
B82311	cluster4
B54985	cluster4
B43657	cluster4
B75277	cluster4
B82868	cluster4
B63459	cluster4
B71233	cluster4
B78434	cluster4
B22361	cluster4
B35339	cluster4
B13167	cluster4
B93788	cluster4
R93788	cluster4
B19915	cluster4
R29771	cluster4
B92691	cluster4
B72561	cluster4
B78912	cluster4
B46734	cluster4
B94454	cluster4
B62194	cluster4
B64994	cluster4
B22593	cluster4
B88326	cluster4
B26481	cluster4
B12132	cluster4
B24618	cluster4
B56125	cluster4
B18341	cluster4
B54699	cluster4
B42844	cluster4
B13595	cluster4
B36153	cluster4
B95811	cluster4
B27915	cluster4
B22158	cluster4
B78581	cluster4
R53844	cluster4
R63929	cluster4
R48221	cluster4
R48585	cluster4
B46933	cluster4
B48221	cluster4
B68521	cluster4
B86955	cluster4
B52154	cluster4
B91724	cluster4
B21734	cluster4
B78994	cluster4
B44864	cluster4
B93174	cluster4
B83391	cluster4
B68722	cluster4
B98343	cluster4
B71528	cluster4
B63624	cluster4
B81429	cluster4
B46541	cluster4
B34658	cluster4
B48731	cluster4
B29622	cluster4
R89229	cluster4
B35958	cluster4
B56399	cluster4
B82358	cluster4
B42993	cluster4
B48982	cluster4
B13838	cluster4
B79853	cluster4
B18534	cluster4
B99976	cluster4
B24228	cluster4
B75527	cluster4
B75867	cluster4
B59363	cluster4
B23288	cluster4
B76324	cluster4
B13541	cluster4
R88635	cluster4
B87394	cluster4
B72748	cluster4
B77635	cluster4
B88635	cluster4
R36122	cluster4
R98652	cluster4
R34696	cluster4
B68179	cluster4
R68179	cluster4
B49885	cluster4
R49885	cluster4
R24847	cluster4
R93174	cluster4
R58984	cluster4
R11517	cluster4
R75527	cluster4
R72363	cluster4
R42851	cluster4
R51577	cluster4
R66999	cluster4
B27223	cluster4
R27223	cluster4
R27251	cluster4
B83578	cluster4
B16323	cluster4
B42962	cluster4
B84421	cluster4
B62946	cluster4
B33347	cluster4
B46711	cluster4
B68599	cluster4
R68599	cluster4
B66857	cluster4
B49934	cluster4
B14396	cluster4
B52234	cluster4
B53743	cluster4
B17459	cluster4
R17459	cluster4
R75622	cluster4
R37948	cluster4
R41891	cluster4
R67519	cluster4
R27476	cluster4
R79387	cluster4
R95223	cluster4
R82644	cluster4
R11921	cluster4
R82772	cluster4
B68351	cluster4
R49464	cluster4
R88628	cluster4
R25247	cluster4
B51591	cluster4
R78434	cluster4
B56943	cluster5
R56943	cluster5
B85471	cluster5
R85471	cluster5
B99333	cluster5
B88127	cluster5
B85487	cluster5
R85487	cluster5
R38216	cluster5
B14424	cluster5
B42771	cluster5
R42771	cluster5
B15944	cluster5
R15944	cluster5
R99333	cluster5
R22378	cluster5
B83276	cluster5
R83276	cluster5
B22378	cluster5
R29622	cluster5
B97489	cluster5
R97489	cluster5
B73367	cluster5
R59533	cluster5
R73367	cluster5
R35287	cluster5
R88127	cluster5
R74234	cluster6
R78994	cluster6
R73235	cluster6
R61743	cluster6
R49769	cluster6
R43811	cluster6
R84974	cluster6
R32231	cluster6
R46418	cluster6
R66416	cluster6
R31163	cluster6
R46262	cluster6
R49833	cluster6
R47639	cluster6
R22659	cluster6
R87394	cluster6
R13477	cluster6
